,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
7152,7152,11560,당산동2가,2007-12-03,현대,164,82.77,8,1994,48000,579.9202609641175,100,1
7153,7153,11560,당산동2가,2007-12-07,현대,164,82.77,14,1994,42600,514.6792316056542,100,1
7166,7166,11560,당산동4가,2007-12-08,현대3,88,59.26,5,1988,27500,464.0566992912589,100,1
7167,7167,11560,당산동4가,2007-12-08,유원제일,91,64.08,7,1983,37800,589.8876404494382,100,1
7168,7168,11560,당산동4가,2007-12-08,유원제일,91,51.48,10,1983,30500,592.4630924630925,100,1
7176,7176,11560,당산동5가,2007-12-02,삼성래미안,42,97.27,20,2003,81000,832.7336280456461,100,1
7177,7177,11560,당산동5가,2007-12-03,반도보라빌,41,84.58,3,2002,38000,449.27878931189406,100,1
7189,7189,11560,대림동,2007-12-02,한신휴 2차,897-1,84.93,8,1999,33950,399.7409631461203,100,1
7190,7190,11560,대림동,2007-12-04,신동아,777-1,53.37,2,1987,20000,374.74236462432077,100,1
7191,7191,11560,대림동,2007-12-06,한신휴1차,887-1,84.93,11,1998,35000,412.1040857176498,100,1
7192,7192,11560,대림동,2007-12-06,우성1,762-1,52.07,11,1985,15000,288.07374687920105,100,1
7193,7193,11560,대림동,2007-12-06,코오롱,607-1,59.94,22,1998,32500,542.208875542209,100,1
7194,7194,11560,대림동,2007-12-08,신동아,777-1,67.41,5,1987,27800,412.40172081293576,100,1
7195,7195,11560,대림동,2007-12-08,코오롱,607-1,59.94,11,1998,30500,508.8421755088422,100,1
7213,7213,11560,문래동2가,2007-12-05,남성,35,47.3,10,1983,24000,507.39957716701906,100,1
7220,7220,11560,문래동4가,2007-12-04,문래동삼환,43,84.98,2,2001,35750,420.68722052247585,100,1
7231,7231,11560,문래동6가,2007-12-02,현대2,45,59.31,5,1987,23400,394.5371775417299,100,1
7232,7232,11560,문래동6가,2007-12-07,유원문래,11월 01일,84.98,9,1991,31500,370.67545304777593,100,1
7233,7233,11560,문래동6가,2007-12-08,베어스타운,Jan-38,84.9,6,1997,38000,447.585394581861,100,1
7244,7244,11560,신길동,2007-12-02,동훈노보빌,499,105.54,3,2007,39891,377.9704377487208,100,1
7245,7245,11560,신길동,2007-12-04,우성2,4518,64.4,11,1986,31000,481.36645962732916,100,1
7246,7246,11560,신길동,2007-12-04,신풍두산위브,425-8,68.0,12,2005,27800,408.8235294117647,100,1
7247,7247,11560,신길동,2007-12-04,우성2,4518,64.4,3,1986,31500,489.13043478260863,100,1
7248,7248,11560,신길동,2007-12-06,보라매두산위브,4497,136.74,10,2005,71200,520.6962117887962,100,1
7249,7249,11560,신길동,2007-12-08,보라매두산위브,4497,84.95,15,2005,43000,506.1801059446733,100,1
7269,7269,11560,양평동1가,2007-12-03,신동아,20,50.81,12,1982,28300,556.9769730368038,100,1
7270,7270,11560,양평동1가,2007-12-07,신동아,20,50.81,11,1982,27900,549.1045069868136,100,1
7275,7275,11560,양평동2가,2007-12-03,벽산,23,51.24,3,1990,18500,361.04605776736923,100,1
7276,7276,11560,양평동2가,2007-12-05,양평삼성,Jan-38,59.4,2,1998,25700,432.6599326599327,100,1
7282,7282,11560,양평동3가,2007-12-02,현대6,101,59.98,13,2000,33300,555.1850616872291,100,1
7283,7283,11560,양평동3가,2007-12-02,현대6,101,59.98,18,2000,32000,533.51117039013,100,1
7284,7284,11560,양평동3가,2007-12-04,현대2,Apr-79,80.92,12,1990,37000,457.24172021749877,100,1
7296,7296,11560,양평동4가,2007-12-03,경남,Jan-51,59.84,10,2000,21200,354.27807486631013,100,1
7297,7297,11560,양평동4가,2007-12-04,에이스리버티움,324,59.6718,7,2006,24000,402.2000341870029,100,1
7298,7298,11560,양평동5가,2007-12-06,한신,76,59.94,9,1996,26000,433.7671004337671,100,1
7306,7306,11560,여의도동,2007-12-03,진주,54,48.26,1,1977,42500,880.6464981351015,100,1
7307,7307,11560,여의도동,2007-12-03,리첸시아,61,119.21,30,2003,108500,910.15854374633,100,1
7308,7308,11560,여의도동,2007-12-04,삼익,51,122.78,6,1974,85000,692.2951620785144,100,1
7309,7309,11560,여의도동,2007-12-04,미성,37,162.71,8,1978,155000,952.6150820478151,100,1
7336,7336,11560,영등포동,2007-12-05,영등포푸르지오,647,73.133,6,2002,41800,571.5614018295435,100,1
