,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
6140,6140,11110,명륜2가,2016-11-07,아남1,4,84.9,11,1995,64300,757.3616018845701,566,1
6141,6141,11110,명륜2가,2016-11-10,아남1,4,84.9,13,1995,65000,765.6065959952886,566,1
6146,6146,11110,무악동,2016-11-08,현대,82,60.0,2,2000,33990,566.5,566,1
6147,6147,11110,무악동,2016-11-12,현대,82,114.9,8,2000,66950,582.680591818973,566,1
6158,6158,11110,사직동,2016-11-07,광화문풍림스페이스본(101동~105동),9,95.88,4,2008,79000,823.9465999165624,566,1
6159,6159,11110,사직동,2016-11-07,광화문풍림스페이스본(101동~105동),9,94.51,12,2008,88000,931.1184001692942,566,1
6160,6160,11110,사직동,2016-11-09,광화문풍림스페이스본(101동~105동),9,94.51,10,2008,92000,973.441963813353,566,1
6161,6161,11110,사직동,2016-11-10,광화문풍림스페이스본(101동~105동),9,136.4,7,2008,103500,758.7976539589442,566,1
6168,6168,11110,숭인동,2016-11-09,종로센트레빌,02월 01일,59.92,11,2008,46300,772.6969292389853,566,1
6178,6178,11110,이화동,2016-11-12,송림아마레스아파트,09월 01일,84.42,5,2004,35600,421.7010187159441,566,1
6180,6180,11110,인의동,2016-11-11,효성쥬얼리시티,Feb-48,84.98,14,2006,53500,629.5598964462226,566,1
6195,6195,11110,평창동,2016-11-07,롯데낙천대,72,110.53,14,2001,66500,601.6466117796074,566,1
6196,6196,11110,평창동,2016-11-10,롯데낙천대,72,110.53,8,2001,68000,615.2175879851624,566,1
