,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
30088,30088,11470,목동,2014-12-08,부영3,908-34,140.52,12,2000,87500,622.6871619698263,466,1
30089,30089,11470,목동,2014-12-08,부영3,908-34,198.2,10,2000,100000,504.54086781029264,466,1
30090,30090,11470,목동,2014-12-08,목동신시가지5,912,65.08,2,1986,59500,914.259373079287,466,1
30091,30091,11470,목동,2014-12-08,목동 이-편한세상,950,134.77,6,2006,79000,586.1838688135341,466,1
30092,30092,11470,목동,2014-12-09,목동신시가지1,901,154.44,7,1985,126500,819.088319088319,466,1
30093,30093,11470,목동,2014-12-09,목동신시가지3,903,95.74,2,1986,89900,939.0014622937122,466,1
30094,30094,11470,목동,2014-12-10,금호어울림,951,84.99,6,2004,50400,593.0109424638193,466,1
30095,30095,11470,목동,2014-12-10,롯데캐슬위너,956,114.75,14,2005,72000,627.4509803921569,466,1
30096,30096,11470,목동,2014-12-11,금강에스쁘아,753-1,82.615,11,2002,43800,530.1700659686497,466,1
30097,30097,11470,목동,2014-12-11,금강에스쁘아,753-1,59.691,13,2002,36000,603.1059958787756,466,1
30098,30098,11470,목동,2014-12-11,상록,806-18,79.33,9,2001,30300,381.94882137904955,466,1
30099,30099,11470,목동,2014-12-11,목동청구한신아파트,929,84.76,15,1997,60000,707.8810759792354,466,1
30100,30100,11470,목동,2014-12-12,일신파스텔,721-2,84.24,5,1998,29000,344.2545109211776,466,1
30101,30101,11470,목동,2014-12-12,목동성원초원,751-4,59.9,13,1999,30500,509.18196994991655,466,1
30102,30102,11470,목동,2014-12-13,목동신시가지6,911,65.1,6,1986,65000,998.4639016897082,466,1
30103,30103,11470,목동,2014-12-13,목동신시가지6,911,115.19,4,1986,112000,972.3066238388749,466,1
30104,30104,11470,목동,2014-12-13,금강에스쁘아,753-1,82.615,11,2002,44000,532.5909338497852,466,1
30105,30105,11470,목동,2014-12-13,금강에스쁘아,753-1,59.691,2,2002,32300,541.1201018579015,466,1
30106,30106,11470,목동,2014-12-13,현대,930,83.16,11,1996,59700,717.8932178932179,466,1
30178,30178,11470,신월동,2014-12-07,그랜드팰리스,1066,47.52,6,2014,17000,357.74410774410774,466,1
30179,30179,11470,신월동,2014-12-08,그랜드팰리스,1066,49.23,5,2014,19900,404.2250660166565,466,1
30180,30180,11470,신월동,2014-12-09,신월시영,987-1,50.67,10,1988,20800,410.49930925597,466,1
30181,30181,11470,신월동,2014-12-09,그랜드팰리스,1066,47.52,4,2014,17000,357.74410774410774,466,1
30182,30182,11470,신월동,2014-12-10,우당,506-1,83.43,2,1997,26200,314.0357185664629,466,1
30183,30183,11470,신월동,2014-12-10,신월시영,987-1,50.67,6,1988,21000,414.44641799881583,466,1
30184,30184,11470,신월동,2014-12-10,신월대림,491-1,59.73,1,2001,22000,368.3241252302026,466,1
30185,30185,11470,신월동,2014-12-10,길훈,341-1,49.77,2,1987,15000,301.3863773357444,466,1
30186,30186,11470,신월동,2014-12-11,덕현해밀(101동),May-81,84.98,2,2013,27000,317.72181689809366,466,1
30187,30187,11470,신월동,2014-12-12,그랜드팰리스,1066,47.52,4,2014,16900,355.6397306397306,466,1
30188,30188,11470,신월동,2014-12-12,신월시영,987-1,59.49,7,1988,25400,426.9625147083543,466,1
30189,30189,11470,신월동,2014-12-12,동도하이츠,218-12,78.47,6,2004,20500,261.24633617943164,466,1
30190,30190,11470,신월동,2014-12-13,태헌(신월프라자),128,56.97,4,1999,16000,280.849569949096,466,1
30191,30191,11470,신월동,2014-12-13,대방샤인힐,1017,59.648,11,2003,23000,385.59549356223175,466,1
30192,30192,11470,신월동,2014-12-13,길훈,341-1,49.77,5,1987,14000,281.2939521800281,466,1
30193,30193,11470,신월동,2014-12-13,삼정그린뷰,1041,84.14,11,2005,31700,376.7530306631804,466,1
30194,30194,11470,신월동,2014-12-13,신월시영,987-1,43.2,8,1988,16850,390.04629629629625,466,1
30251,30251,11470,신정동,2014-12-07,학마을1단지,1293,49.99,8,2000,21500,430.0860172034407,466,1
30252,30252,11470,신정동,2014-12-08,목동신시가지10,311,70.2,12,1987,57000,811.9658119658119,466,1
30253,30253,11470,신정동,2014-12-08,이펜하우스2단지,1322,84.51,1,2011,35000,414.1521713406697,466,1
30254,30254,11470,신정동,2014-12-08,쌍용,334,84.65,4,1992,39500,466.6272888363851,466,1
30255,30255,11470,신정동,2014-12-09,목동2삼성래미안,1295,84.65,10,2001,53500,632.0141760189014,466,1
30256,30256,11470,신정동,2014-12-09,푸른마을3,1283,84.9,3,2001,33500,394.5818610129564,466,1
30257,30257,11470,신정동,2014-12-10,동일하이빌1단지,1310,84.955,5,2005,43000,506.1503148725796,466,1
30258,30258,11470,신정동,2014-12-10,신트리1,1259,59.42,11,1999,28800,484.6852911477617,466,1
30259,30259,11470,신정동,2014-12-10,길훈로즈빌,1297,84.95,12,2002,54000,635.6680400235432,466,1
30260,30260,11470,신정동,2014-12-11,신트리1,1259,49.95,13,1999,25300,506.50650650650647,466,1
30261,30261,11470,신정동,2014-12-11,푸른마을3,1283,59.85,8,2001,28000,467.8362573099415,466,1
30262,30262,11470,신정동,2014-12-11,신트리3,1276,84.97,13,2000,41000,482.5232434977051,466,1
30263,30263,11470,신정동,2014-12-11,쌍용,334,84.65,3,1992,38500,454.81393975191963,466,1
30264,30264,11470,신정동,2014-12-12,신트리1,1259,59.73,11,1999,28200,472.1245605223506,466,1
30265,30265,11470,신정동,2014-12-12,이스타팰리스,1007-11,114.41,10,2004,49400,431.78043877283454,466,1
30266,30266,11470,신정동,2014-12-12,청구,336,84.99,7,1992,40000,470.6436051300153,466,1
30267,30267,11470,신정동,2014-12-12,목동신시가지10,311,85.0,1,1987,67500,794.1176470588235,466,1
30268,30268,11470,신정동,2014-12-12,동원로데오(1308),1308,69.78,4,2006,36200,518.7732874749212,466,1
30269,30269,11470,신정동,2014-12-12,목동2삼성래미안,1295,59.92,4,2001,31000,517.3564753004006,466,1
30270,30270,11470,신정동,2014-12-12,양천시장주상복합,883,104.17,5,2001,33000,316.78986272439283,466,1
30271,30271,11470,신정동,2014-12-12,목동신시가지12,326,56.76,2,1988,42900,755.8139534883721,466,1
30272,30272,11470,신정동,2014-12-13,신트리4,1277,59.73,11,2000,30000,502.26017076845807,466,1
30273,30273,11470,신정동,2014-12-13,신정현대5,1273,85.26,14,1999,43450,509.61764015951206,466,1
30274,30274,11470,신정동,2014-12-13,신트리4,1277,48.96,7,2000,23400,477.94117647058823,466,1
30275,30275,11470,신정동,2014-12-13,목동신시가지12,326,56.76,2,1988,45000,792.8118393234672,466,1
30276,30276,11470,신정동,2014-12-13,아이파크,1296,84.88,13,2002,72000,848.2563619227145,466,1
30277,30277,11470,신정동,2014-12-13,청구,336,84.99,10,1992,42000,494.1757853865161,466,1
30278,30278,11470,신정동,2014-12-13,아이파크,1296,114.756,13,2002,90000,784.2727177663913,466,1
30279,30279,11470,신정동,2014-12-13,목동신시가지10,311,127.21,1,1987,89000,699.6305321908656,466,1
