,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
37000,37000,11530,개봉동,2016-01-04,두산,472,84.96,7,1997,30900,363.7005649717514,522,1
37001,37001,11530,개봉동,2016-01-05,삼환,470,114.48,15,1995,34700,303.109713487072,522,1
37002,37002,11530,개봉동,2016-01-06,현대홈타운,480,59.49,18,2001,32400,544.6293494704993,522,1
37003,37003,11530,개봉동,2016-01-06,삼호,471,84.88,6,1996,33500,394.67483506126297,522,1
37004,37004,11530,개봉동,2016-01-07,개봉푸르지오,492,84.94,12,2014,46300,545.0906522251,522,1
37005,37005,11530,개봉동,2016-01-07,현대홈타운,480,59.49,2,2001,32000,537.9055303412338,522,1
37006,37006,11530,개봉동,2016-01-07,영화,475,84.96,23,1998,36000,423.7288135593221,522,1
37007,37007,11530,개봉동,2016-01-07,상우,473,59.4,7,1997,24900,419.1919191919192,522,1
37008,37008,11530,개봉동,2016-01-07,동도센트리움(70-12),Dec-70,119.46700000000001,12,2002,34500,288.7826763876217,522,1
37009,37009,11530,개봉동,2016-01-09,한마을,476,123.46,14,1999,46000,372.59031265187105,522,1
37010,37010,11530,개봉동,2016-01-09,현대,481,84.99,12,2001,43000,505.9418755147665,522,1
37011,37011,11530,개봉동,2016-01-09,청실,175-8,76.08,5,1987,28800,378.54889589905366,522,1
37053,37053,11530,고척동,2016-01-04,삼익(1단지),330,114.9,9,2001,35000,304.6127067014795,522,1
37054,37054,11530,고척동,2016-01-04,청구,326,84.87,2,1999,34800,410.0388829975256,522,1
37055,37055,11530,고척동,2016-01-05,청구,326,59.94,3,1999,25700,428.7620954287621,522,1
37056,37056,11530,고척동,2016-01-07,고척파크푸르지오,339,84.94,6,2009,52700,620.4379562043796,522,1
37057,37057,11530,고척동,2016-01-07,서울가든,141-1,64.39,2,1989,26700,414.6606615934151,522,1
37058,37058,11530,고척동,2016-01-08,고척LIG리가1차,340,84.91,22,2009,42200,496.99682016252507,522,1
37059,37059,11530,고척동,2016-01-08,대우,296,59.96,5,1999,27000,450.30020013342227,522,1
37060,37060,11530,고척동,2016-01-09,대우,296,84.98,14,1999,33900,398.9173923276065,522,1
37091,37091,11530,구로동,2016-01-03,신도림태영타운,1267,171.22,2,2000,62000,362.1072304637309,522,1
37092,37092,11530,구로동,2016-01-04,삼성래미안,256-1,109.65100000000001,3,2004,52000,474.2318811501947,522,1
37093,37093,11530,구로동,2016-01-04,보광,440,73.89,1,1984,36000,487.21071863581,522,1
37094,37094,11530,구로동,2016-01-05,덕영드림,1282,56.19,13,2006,28800,512.5467164975975,522,1
37095,37095,11530,구로동,2016-01-05,구로두산,1265,44.64,21,1998,25150,563.3960573476702,522,1
37096,37096,11530,구로동,2016-01-06,성호메이플라워멤버스빌,104-9,41.4,8,2002,16700,403.3816425120773,522,1
37097,37097,11530,구로동,2016-01-07,럭키,1257,56.11,1,1992,23500,418.8201746569239,522,1
37098,37098,11530,구로동,2016-01-07,구로두산위브,1278,36.88,9,2006,25000,677.8741865509761,522,1
37099,37099,11530,구로동,2016-01-07,우성(1058),1058,59.34,9,1995,30800,519.0428041793057,522,1
37100,37100,11530,구로동,2016-01-07,구로두산,1265,44.64,23,1998,22000,492.831541218638,522,1
37101,37101,11530,구로동,2016-01-07,현대연예인,685-70,84.91,10,1989,34750,409.2568602049229,522,1
37102,37102,11530,구로동,2016-01-07,칠성3,685-280,61.63,4,1985,23500,381.3078046405971,522,1
37103,37103,11530,구로동,2016-01-07,구로두산위브,1278,57.1,13,2006,37000,647.9859894921191,522,1
37104,37104,11530,구로동,2016-01-08,삼성래미안,256-1,109.65100000000001,9,2004,57500,524.3910224256961,522,1
37105,37105,11530,구로동,2016-01-08,주공1,685-222,73.08,3,1986,34200,467.9802955665025,522,1
37106,37106,11530,구로동,2016-01-08,현대의보아파트,642-33,82.76,1,1994,24800,299.66167230546154,522,1
37107,37107,11530,구로동,2016-01-09,신도림롯데아파트,1263,59.68,9,1999,35650,597.3525469168901,522,1
37108,37108,11530,구로동,2016-01-09,현대,74-30,56.49,10,1988,24000,424.85395645246945,522,1
37109,37109,11530,구로동,2016-01-09,성호메이플라워멤버스빌,104-9,36.98,14,2002,14700,397.5121687398594,522,1
37110,37110,11530,구로동,2016-01-09,하나세인스톤1차,110-8,21.7256,11,2011,14200,653.6068048753544,522,1
37111,37111,11530,구로동,2016-01-09,삼성래미안,256-1,109.65100000000001,4,2004,53500,487.91164695260414,522,1
37112,37112,11530,구로동,2016-01-09,극동,314,58.19,8,1984,21800,374.6348169788624,522,1
37113,37113,11530,구로동,2016-01-09,신구로자이,501,84.98,11,2007,42000,494.2339373970346,522,1
37114,37114,11530,구로동,2016-01-09,신구로자이,501,84.98,15,2007,42500,500.1176747469993,522,1
37115,37115,11530,구로동,2016-01-09,신구로자이,501,84.91,17,2007,41500,488.7527970792604,522,1
37116,37116,11530,구로동,2016-01-09,중앙하이츠,685-124,59.99,10,1987,26300,438.40640106684447,522,1
37117,37117,11530,구로동,2016-01-09,(752-17),752-17,33.56,2,1994,10450,311.3825983313468,522,1
37118,37118,11530,구로동,2016-01-09,구로현대,1256,56.49,5,1992,24900,440.78597981943705,522,1
37119,37119,11530,구로동,2016-01-09,구로현대,1256,56.49,5,1992,24900,440.78597981943705,522,1
37120,37120,11530,구로동,2016-01-09,럭키,1257,56.11,4,1992,27200,484.7620744965247,522,1
37121,37121,11530,구로동,2016-01-09,신도림태영타운,1267,84.87,20,2000,50000,589.1363261458702,522,1
37122,37122,11530,구로동,2016-01-09,한신휴플러스(1280-0),1280,50.17,14,2007,34850,694.638230017939,522,1
37200,37200,11530,신도림동,2016-01-04,대림3,691,114.55,3,2001,52000,453.9502400698385,522,1
37201,37201,11530,신도림동,2016-01-07,우성5,638,79.56,7,1994,39600,497.73755656108597,522,1
37202,37202,11530,신도림동,2016-01-09,동아1,643,84.90799999999999,16,1999,53000,624.2050219060632,522,1
37203,37203,11530,신도림동,2016-01-09,동아1,643,59.978,8,1999,44000,733.6023208509787,522,1
37249,37249,11530,오류동,2016-01-05,동부(105동~106동),339,84.9,18,1999,30900,363.95759717314485,522,1
37250,37250,11530,오류동,2016-01-06,우림필유,348,59.95,9,2005,28900,482.068390325271,522,1
37251,37251,11530,오류동,2016-01-06,길훈,150-42,53.94,2,1986,14000,259.5476455320727,522,1
37252,37252,11530,오류동,2016-01-06,경남아너스빌,344,84.98,14,2003,38000,447.164038597317,522,1
37253,37253,11530,오류동,2016-01-06,동선,345,58.2159,12,2004,25250,433.73030392040664,522,1
37254,37254,11530,오류동,2016-01-06,서해그랑블,351,84.98,6,2009,35000,411.8616144975288,522,1
37255,37255,11530,오류동,2016-01-08,길훈,150-42,53.94,4,1986,14000,259.5476455320727,522,1
37256,37256,11530,오류동,2016-01-08,시티월드,Oct-44,84.89,12,1993,26000,306.2787136294028,522,1
37257,37257,11530,오류동,2016-01-09,동부골든,338,71.06,8,1998,27600,388.40416549394877,522,1
37258,37258,11530,오류동,2016-01-09,길훈,150-42,62.76,1,1987,21500,342.5748884639898,522,1
37259,37259,11530,오류동,2016-01-09,동선,345,58.2159,6,2004,25600,439.74240714306575,522,1
37260,37260,11530,오류동,2016-01-09,금강(343),343,60.053999999999995,3,2003,34000,566.1571252539381,522,1
37261,37261,11530,오류동,2016-01-09,금강(343),343,60.053999999999995,5,2003,42500,707.6964065674227,522,1
37289,37289,11530,천왕동,2016-01-04,천왕연지타운2단지,281,101.92,8,2014,48800,478.80690737833595,522,1
