,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,Æò´ç°¡°Ý,°Å·¡ÁÖ
7527,1,11410,´ëÇöµ¿,2009-07-10,¿¹½º¿¡ÀÌÇÇ¿¥,145,38.72,10,2007,21900,565.599173553719,183
7534,1,11410,ºÏ°¡ÁÂµ¿,2009-07-06,¿ùµåÄÅÇö´ë,371-1,84.93,6,1998,38500,453.31449428941477,183
7535,1,11410,ºÏ°¡ÁÂµ¿,2009-07-08,¿ùµåÄÅÇö´ë,371-1,59.76,11,1998,29200,488.6211512717537,183
7536,1,11410,ºÏ°¡ÁÂµ¿,2009-07-09,DMCÈÞ¸Õºô¾ÆÆÄÆ®,456,84.21,10,2008,36000,427.5026718916994,183
7537,1,11410,ºÏ°¡ÁÂµ¿,2009-07-11,ºÏ°¡ÁÂ»ïÈ£,449,114.03,1,1996,40800,357.8005787950539,183
7545,1,11410,ºÏ¾ÆÇöµ¿,2009-07-06,ºÏ¾ÆÇö°æ³²,1006,59.77,4,1996,40000,669.2320562154927,183
7546,1,11410,ºÏ¾ÆÇöµ¿,2009-07-07,µÎ»ê,1009,59.96,13,1999,30350,506.1707805203469,183
7547,1,11410,ºÏ¾ÆÇöµ¿,2009-07-11,¿ì¹ÎA,1-50,84.75,1,2001,43000,507.3746312684366,183
7554,1,11410,¿¬Èñµ¿,2009-07-05,µå¸®¹Ö,169-3,79.26,8,2006,28000,353.2677264698461,183
7555,1,11410,¿¬Èñµ¿,2009-07-07,¿¡ÄÚºô¸®Áö,169-9,67.68,7,2009,27700,409.27895981087465,183
7570,1,11410,¿µÃµµ¿,2009-07-10,µ¶¸³¹®»ïÈ£,100,75.66,1,1995,31000,409.7277293153582,183
7581,1,11410,ÇöÀúµ¿,2009-07-07,µ¶¸³¹®ÆÄÅ©ºô,1019,59.4,3,2000,21000,353.5353535353535,183
7582,1,11410,ÇöÀúµ¿,2009-07-11,µ¶¸³¹®±Øµ¿(200-0),200,59.58,4,1998,36500,612.621685129238,183
7588,1,11410,È«Àºµ¿,2009-07-05,Ç³¸²2,453-2,58.5,4,1990,21500,367.5213675213675,183
7589,1,11410,È«Àºµ¿,2009-07-06,Ç³¸²2,453-2,58.5,11,1990,24900,425.64102564102564,183
7590,1,11410,È«Àºµ¿,2009-07-07,À¯¿ø,22,54.54,1,1987,17300,317.1983865053172,183
7591,1,11410,È«Àºµ¿,2009-07-07,À¯¿ø,22,84.6,6,1987,26200,309.69267139479905,183
7592,1,11410,È«Àºµ¿,2009-07-08,È«Àºµ¿Ç³¸²¾ÆÀÌ¿ø,460,116.101,12,2002,51000,439.27270221617385,183
7593,1,11410,È«Àºµ¿,2009-07-08,Ç³¸²2,453-2,58.5,9,1990,25000,427.35042735042737,183
7594,1,11410,È«Àºµ¿,2009-07-09,¹ÌµçÇª¸£Áö,189-9,84.99,5,2006,21000,247.08789269325806,183
7595,1,11410,È«Àºµ¿,2009-07-09,È«Àºµ¿º®»ê,455,114.96,5,1997,47500,413.187195546277,183
7596,1,11410,È«Àºµ¿,2009-07-10,È«Àºµ¿º®»ê,455,58.64,4,1997,27450,468.11050477489766,183
7597,1,11410,È«Àºµ¿,2009-07-11,À¯¿ø,22,84.6,2,1987,26450,312.64775413711584,183
7598,1,11410,È«Àºµ¿,2009-07-11,Ç³¸²2,453-2,58.5,5,1990,23500,401.70940170940173,183
7599,1,11410,È«Àºµ¿,2009-07-11,Ç³¸²2,453-2,84.93,11,1990,36500,429.7656893912634,183
7622,1,11410,È«Á¦µ¿,2009-07-05,¼º¿ø,456,41.5,5,1998,17000,409.6385542168675,183
7623,1,11410,È«Á¦µ¿,2009-07-05,ÀÎ¿Õ±Ã¸Ç¼ð,104-6,71.4,4,1974,26500,371.14845938375345,183
7624,1,11410,È«Á¦µ¿,2009-07-06,È«Á¦ÇØ¼º,466,84.97399999999998,5,2002,35400,416.5980182173372,183
7625,1,11410,È«Á¦µ¿,2009-07-07,È«Á¦»ï¼º·¡¹Ì¾È,461,32.76,6,2001,17300,528.0830280830281,183
7626,1,11410,È«Á¦µ¿,2009-07-07,Áß¾ÓÇÏÀÌÃ÷,342,59.23,1,2001,19000,320.7833867972312,183
7627,1,11410,È«Á¦µ¿,2009-07-08,È«Á¦»ï¼º·¡¹Ì¾È,461,32.76,8,2001,17000,518.925518925519,183
7628,1,11410,È«Á¦µ¿,2009-07-10,È«Á¦Çö´ë,331,83.05,8,1992,45000,541.8422636965684,183
7629,1,11410,È«Á¦µ¿,2009-07-10,È«Á¦¿øÇö´ë(459-0),459,59.93,7,2000,29500,492.2409477724011,183
7630,1,11410,È«Á¦µ¿,2009-07-11,¼º¿ø,456,84.87,13,1998,36750,433.01519971721456,183
