,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
9902,9902,11260,망우동,2009-08-18,해오름102동,508-11,57.66,6,2005,24000,416.2330905306972,189,1
9903,9903,11260,망우동,2009-08-20,해오름102동,508-11,57.66,6,2005,25000,433.57613596947624,189,1
9904,9904,11260,망우동,2009-08-20,금호어울림(580),580,59.96,7,2006,30000,500.3335557038025,189,1
9905,9905,11260,망우동,2009-08-21,금호어울림(580),580,59.96,11,2006,30300,505.33689126084056,189,1
9934,9934,11260,면목동,2009-08-17,한신,193-1,84.92,15,1987,30000,353.2736693358455,189,1
9935,9935,11260,면목동,2009-08-17,한신,193-1,44.5,8,1988,19500,438.2022471910112,189,1
9936,9936,11260,면목동,2009-08-17,늘푸른동아,715,59.65,3,2002,26900,450.9639564124057,189,1
9937,9937,11260,면목동,2009-08-19,리치카운티,1505,84.741,10,2004,38900,459.0457983738686,189,1
9938,9938,11260,면목동,2009-08-19,한신,193-1,35.3,1,1988,15000,424.929178470255,189,1
9939,9939,11260,면목동,2009-08-20,대명미르테,1532,79.94,10,2009,28000,350.2626970227671,189,1
9940,9940,11260,면목동,2009-08-20,한신,193-1,44.5,7,1988,17000,382.02247191011236,189,1
9941,9941,11260,면목동,2009-08-20,신성미소지움,1527,80.1913,2,2004,32450,404.6573630805337,189,1
9942,9942,11260,면목동,2009-08-20,두산3,1511,84.77,17,1995,37000,436.47516810192286,189,1
9943,9943,11260,면목동,2009-08-20,한신,193-1,84.92,7,1987,30500,359.16156382477624,189,1
9944,9944,11260,면목동,2009-08-21,주함해븐,91-15,84.99,4,2009,28000,329.4505235910107,189,1
9945,9945,11260,면목동,2009-08-21,두산2,1510,84.77,18,1995,37000,436.47516810192286,189,1
9946,9946,11260,면목동,2009-08-21,두원,1521,59.31,14,1998,23500,396.2232338560108,189,1
9947,9947,11260,면목동,2009-08-21,용마동아,1499,84.88,12,1993,28100,331.0556079170594,189,1
9948,9948,11260,면목동,2009-08-22,한신,193-1,44.5,15,1988,17750,398.87640449438203,189,1
9949,9949,11260,면목동,2009-08-22,한신,193-1,58.46,15,1988,22200,379.746835443038,189,1
9950,9950,11260,면목동,2009-08-22,마젤란21,1531,78.941,3,2007,32000,405.36603285998405,189,1
9951,9951,11260,면목동,2009-08-22,한건브리앙,88-52,54.84,6,2004,22000,401.1670313639679,189,1
9952,9952,11260,면목동,2009-08-22,용마산금호어울림,1525,84.912,11,2006,43800,515.8281514980215,189,1
9992,9992,11260,묵동,2009-08-17,신내두산,20,126.28,2,1995,53250,421.68197656002536,189,1
9993,9993,11260,묵동,2009-08-17,신내,13,59.76,2,1996,26000,435.0736278447122,189,1
9994,9994,11260,묵동,2009-08-18,신내두산,20,102.7,4,1995,48500,472.24926971762414,189,1
9995,9995,11260,묵동,2009-08-19,브라운스톤태릉,387,83.5358,3,2004,39000,466.86570308777794,189,1
9996,9996,11260,묵동,2009-08-19,신내,13,39.84,3,1996,17880,448.79518072289153,189,1
9997,9997,11260,묵동,2009-08-20,신내,13,39.84,11,1996,17900,449.29718875502004,189,1
9998,9998,11260,묵동,2009-08-20,현대아이파크,385,84.9416,1,2002,37500,441.47979317554655,189,1
9999,9999,11260,묵동,2009-08-22,신내,13,49.77,5,1996,22700,456.09805103475986,189,1
10028,10028,11260,상봉동,2009-08-16,우정아파트,496,57.18899999999999,23,2002,31300,547.3080487506339,189,1
10029,10029,11260,상봉동,2009-08-17,"엘지, 쌍용아파트",484,68.12,5,1996,28900,424.25132119788606,189,1
10030,10030,11260,상봉동,2009-08-17,한일써너스빌,May-81,66.25399999999999,24,2003,33300,502.6111630995865,189,1
10031,10031,11260,상봉동,2009-08-17,태영데시앙1,497,59.6772,3,2003,31500,527.8397780056705,189,1
10032,10032,11260,상봉동,2009-08-17,"엘지, 쌍용아파트",484,68.12,9,1996,30000,440.3992953611274,189,1
10033,10033,11260,상봉동,2009-08-18,건영1,1,84.96,2,1997,36500,429.6139359698682,189,1
10034,10034,11260,상봉동,2009-08-18,건영1,1,84.96,11,1997,34000,400.1883239171375,189,1
10035,10035,11260,상봉동,2009-08-18,태영데시앙2(1411동),498,84.6,3,2003,38000,449.1725768321513,189,1
10036,10036,11260,상봉동,2009-08-19,건영2차아파트,63,57.3,10,1996,24500,427.57417102966843,189,1
10037,10037,11260,상봉동,2009-08-19,건영캐스빌,499,84.6475,22,2006,47250,558.1972296878231,189,1
10038,10038,11260,상봉동,2009-08-19,동부아파트,495,54.0,4,1999,22500,416.6666666666667,189,1
10039,10039,11260,상봉동,2009-08-19,태영데시앙1,497,84.9353,20,2003,45100,530.9924142258873,189,1
10040,10040,11260,상봉동,2009-08-21,한일써너스빌,May-81,84.848,17,2003,45300,533.895907976617,189,1
10041,10041,11260,상봉동,2009-08-22,건영2차아파트,63,84.96,9,1996,38500,453.15442561205276,189,1
10042,10042,11260,상봉동,2009-08-22,한일써너스빌,May-81,66.25399999999999,18,2003,30000,452.80284963926715,189,1
10043,10043,11260,상봉동,2009-08-22,건영2차아파트,63,74.25,9,1996,31500,424.24242424242425,189,1
10044,10044,11260,상봉동,2009-08-22,태영데시앙1,497,84.9353,9,2003,45000,529.8150474537678,189,1
10105,10105,11260,신내동,2009-08-16,대성유니트,803,84.95,6,2005,33000,388.46380223660975,189,1
10106,10106,11260,신내동,2009-08-17,신내11대명,661,59.76,14,1996,26700,446.7871485943775,189,1
10107,10107,11260,신내동,2009-08-17,신내11대명,661,39.76,6,1996,19000,477.8672032193159,189,1
10108,10108,11260,신내동,2009-08-17,영풍마드레빌,801,84.8485,5,2004,36900,434.8927794834322,189,1
10109,10109,11260,신내동,2009-08-18,신내6대주,650,59.76,12,1996,29350,491.1311914323963,189,1
10110,10110,11260,신내동,2009-08-18,신내11대명,661,59.76,9,1996,27800,465.194109772423,189,1
10111,10111,11260,신내동,2009-08-19,조호그레이스2,492-26,57.54,1,2003,16500,286.7570385818561,189,1
10112,10112,11260,신내동,2009-08-19,경남아너스빌,804,70.39,2,2007,29500,419.0936212530189,189,1
10113,10113,11260,신내동,2009-08-19,신내9진흥,657,49.93,11,1996,25000,500.70098137392347,189,1
10114,10114,11260,신내동,2009-08-19,우남푸르미아,802,84.67,17,2005,37300,440.53383725050196,189,1
10115,10115,11260,신내동,2009-08-19,성원,783,84.32,22,1994,33000,391.3662239089184,189,1
10116,10116,11260,신내동,2009-08-20,신내6대주,650,49.77,12,1996,23000,462.1257785814748,189,1
10117,10117,11260,신내동,2009-08-20,신내6대주,650,49.77,11,1996,24000,482.21820373719106,189,1
10118,10118,11260,신내동,2009-08-20,신내6대주,650,59.76,3,1996,28900,483.60107095046857,189,1
10119,10119,11260,신내동,2009-08-22,신내9진흥,657,33.18,7,1996,15500,467.1488848704039,189,1
10120,10120,11260,신내동,2009-08-22,동성3,618,105.93,15,1997,47000,443.68922873595767,189,1
10121,10121,11260,신내동,2009-08-22,신내6대주,650,49.77,5,1996,25000,502.31062889290735,189,1
10122,10122,11260,신내동,2009-08-22,신내6대주,650,49.77,8,1996,25800,518.3845690174804,189,1
10167,10167,11260,중화동,2009-08-18,태능에셈빌,314-1,82.243,4,2005,30000,364.77268582128573,189,1
10168,10168,11260,중화동,2009-08-20,한신1차,450,59.76,19,1997,26500,443.4404283801874,189,1
10169,10169,11260,중화동,2009-08-21,한신2,450,59.76,11,1998,27900,466.86746987951807,189,1
10170,10170,11260,중화동,2009-08-22,극동,19,84.13,3,1991,31000,368.4773564721265,189,1
