,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
40670,40670,11200,금호동2가,2020-10-10,신금호파크자이,1,59.98,5,2016,122500,2042.3474491497166,770,1
40676,40676,11200,금호동3가,2020-10-09,두산,1331,84.99,10,1994,114300,1344.8641016590188,770,1
40682,40682,11200,금호동4가,2020-10-09,서울숲푸르지오2차,235,59.861999999999995,14,2012,146500,2447.2954461929107,770,1
40691,40691,11200,마장동,2020-10-10,세림,784,84.93,4,1986,93000,1095.019427764041,770,1
40700,40700,11200,사근동,2020-10-08,벽산,314,84.8,10,2000,70000,825.4716981132076,770,1
40701,40701,11200,상왕십리동,2020-10-05,텐즈힐(2구역),811,84.9,13,2014,149000,1755.0058892815075,770,1
40702,40702,11200,상왕십리동,2020-10-10,텐즈힐(2구역),811,84.92,7,2014,139000,1636.834667922751,770,1
40705,40705,11200,성수동1가,2020-10-05,트리마제,718,84.5402,37,2017,270000,3193.7468801824457,770,1
40706,40706,11200,성수동1가,2020-10-05,대우2,709,84.97,1,1999,108000,1271.0368365305403,770,1
40707,40707,11200,성수동1가,2020-10-06,금호,714,84.98,4,2003,127500,1500.353024240998,770,1
40722,40722,11200,성수동2가,2020-10-06,현대I-PARK,834,116.22,11,2003,144000,1239.02942694889,770,1
40723,40723,11200,성수동2가,2020-10-08,현대I-PARK,834,104.56,10,2003,138000,1319.8163733741392,770,1
40724,40724,11200,성수동2가,2020-10-10,우방2,286,59.82,18,1999,85000,1420.929455031762,770,1
40730,40730,11200,송정동,2020-10-07,건영,90,84.945,5,2000,76700,902.9371946553653,770,1
40734,40734,11200,옥수동,2020-10-05,옥수,306,49.55,5,1975,43000,867.8102926337034,770,1
40735,40735,11200,옥수동,2020-10-07,옥수파크힐스101동~116동,528,59.78,2,2016,134000,2241.5523586483773,770,1
40736,40736,11200,옥수동,2020-10-09,삼성,250,59.7,10,1999,114500,1917.9229480737017,770,1
40737,40737,11200,옥수동,2020-10-10,옥수파크힐스101동~116동,528,59.91,8,2016,153000,2553.830746119179,770,1
40738,40738,11200,옥수동,2020-10-10,동인샤인빌,12,57.16,4,2003,81000,1417.074877536739,770,1
40767,40767,11200,하왕십리동,2020-10-05,센트라스아파트,1070,84.96,6,2016,159000,1871.4689265536724,770,1
40768,40768,11200,하왕십리동,2020-10-08,센트라스아파트,1070,40.94,17,2016,94500,2308.255984367367,770,1
40769,40769,11200,하왕십리동,2020-10-08,센트라스아파트,1070,84.98,20,2016,167000,1965.168274888209,770,1
40770,40770,11200,하왕십리동,2020-10-09,청계벽산,258,114.46,17,1996,111000,969.7710990739123,770,1
40771,40771,11200,하왕십리동,2020-10-09,센트라스아파트,1070,59.94,4,2016,133000,2218.8855522188856,770,1
40772,40772,11200,하왕십리동,2020-10-10,센트라스아파트,1070,59.93,22,2016,128300,2140.830969464375,770,1
40786,40786,11200,행당동,2020-10-05,행당 한진타운,346,59.96,24,2000,98000,1634.4229486324216,770,1
40787,40787,11200,행당동,2020-10-06,대림e-편한세상,347,114.94,6,2000,133000,1157.1254567600488,770,1
40788,40788,11200,행당동,2020-10-06,대림e-편한세상,347,114.94,15,2000,135000,1174.5258395684705,770,1
40789,40789,11200,행당동,2020-10-10,행당 한진타운,346,59.96,18,2000,94500,1576.050700466978,770,1
