,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,면적당가격,거래주,count
28811,28811,11680,개포동,2012-10-22,개포주공 7단지,185,73.26,1,1983,61500,839.4758394758394,355,1
28812,28812,11680,개포동,2012-10-22,개포주공 1단지,141,53.63,3,1983,82000,1528.9949655043818,355,1
28813,28813,11680,개포동,2012-10-22,성원대치2단지아파트,12,33.18,14,1992,27500,828.8125376732971,355,1
28814,28814,11680,개포동,2012-10-23,시영,656,40.31,1,1984,48700,1208.1369387248822,355,1
28815,28815,11680,개포동,2012-10-23,개포주공 3단지,138,35.64,2,1982,51000,1430.976430976431,355,1
28816,28816,11680,개포동,2012-10-23,개포주공 1단지,141,41.98,3,1982,59900,1426.8699380657456,355,1
28817,28817,11680,개포동,2012-10-23,개포주공 1단지,141,49.56,4,1982,75500,1523.4059725585148,355,1
28818,28818,11680,개포동,2012-10-24,개포주공 7단지,185,73.26,3,1983,66030,901.3104013104013,355,1
28819,28819,11680,개포동,2012-10-24,시영,656,40.42,4,1984,48700,1204.8490846115783,355,1
28820,28820,11680,개포동,2012-10-24,개포주공 1단지,141,41.98,4,1982,59500,1417.341591233921,355,1
28821,28821,11680,개포동,2012-10-24,개포주공 4단지,189,35.87,1,1982,47000,1310.2871480345693,355,1
28822,28822,11680,개포동,2012-10-24,개포주공 1단지,141,42.55,2,1982,60000,1410.105757931845,355,1
28823,28823,11680,개포동,2012-10-24,개포주공 1단지,141,58.08,3,1982,87500,1506.542699724518,355,1
28824,28824,11680,개포동,2012-10-24,개포주공 1단지,141,42.55,4,1982,61000,1433.6075205640425,355,1
28825,28825,11680,개포동,2012-10-24,성원대치2단지아파트,12,39.53,4,1992,34500,872.7548697192005,355,1
28826,28826,11680,개포동,2012-10-24,개포주공 4단지,189,35.64,5,1982,46900,1315.9371492704827,355,1
28827,28827,11680,개포동,2012-10-25,시영,656,28.79,2,1984,38500,1337.269885376867,355,1
28828,28828,11680,개포동,2012-10-26,개포주공 5단지,187,74.25,8,1983,71000,956.2289562289562,355,1
28829,28829,11680,개포동,2012-10-26,개포주공 1단지,141,35.64,5,1982,50000,1402.9180695847363,355,1
28830,28830,11680,개포동,2012-10-26,개포주공 3단지,138,42.55,5,1982,61500,1445.3584018801412,355,1
28831,28831,11680,개포동,2012-10-27,개포주공 6단지,185,73.02,1,1983,64000,876.4721993974254,355,1
28850,28850,11680,논현동,2012-10-22,이산,194-22,64.23,-1,2011,28000,435.93336447143076,355,1
28851,28851,11680,논현동,2012-10-27,스위트캐슬레지던스,55,105.96,1,2004,69500,655.9078897697244,355,1
28880,28880,11680,대치동,2012-10-22,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,115.59,5,1984,103500,895.4061770049312,355,1
28881,28881,11680,대치동,2012-10-25,선경1차(1동-7동),506,84.35,5,1983,95000,1126.2596324836989,355,1
28882,28882,11680,대치동,2012-10-26,은마,316,84.43,7,1980,86000,1018.5952860357692,355,1
28883,28883,11680,대치동,2012-10-26,대치아이파크,888,114.97,17,2008,139000,1209.01104635992,355,1
28884,28884,11680,대치동,2012-10-27,한보미도맨션2,511,159.15,12,1985,188000,1181.2755262331134,355,1
28885,28885,11680,대치동,2012-10-27,대치현대,974,59.82,4,1999,51500,860.9160815780675,355,1
28886,28886,11680,대치동,2012-10-27,한보미도맨션1,511,128.01,7,1983,135000,1054.6051089758614,355,1
28912,28912,11680,도곡동,2012-10-22,도곡렉슬,527,119.8906,14,2006,130000,1084.3218734412872,355,1
28913,28913,11680,도곡동,2012-10-23,삼성,161,80.75,4,1994,83000,1027.8637770897833,355,1
28914,28914,11680,도곡동,2012-10-23,삼성래미안,May-91,84.89,19,2001,89800,1057.8395570738603,355,1
28915,28915,11680,도곡동,2012-10-23,도곡렉슬,527,59.9818,11,2006,77000,1283.7227292278658,355,1
28916,28916,11680,도곡동,2012-10-24,도곡렉슬,527,59.9818,21,2006,75000,1250.3792817154538,355,1
28917,28917,11680,도곡동,2012-10-24,타워팰리스2,467-17,160.17,47,2003,165000,1030.1554598239372,355,1
28918,28918,11680,도곡동,2012-10-24,도곡렉슬,527,84.9984,1,2006,96300,1132.9625028235826,355,1
28919,28919,11680,도곡동,2012-10-25,삼성래미안,May-91,122.81,5,2001,127000,1034.1177428548165,355,1
28920,28920,11680,도곡동,2012-10-25,우성캐릭터199,467-24,132.94,12,1998,92000,692.0415224913495,355,1
28921,28921,11680,도곡동,2012-10-27,롯데캐슬모닝,551-28,84.51,7,2003,65000,769.1397467755295,355,1
28922,28922,11680,도곡동,2012-10-27,도곡렉슬,527,84.9984,10,2006,110000,1294.1420073789623,355,1
28944,28944,11680,삼성동,2012-10-22,삼성동힐스테이트 1단지,02월 16일,31.401999999999997,8,2008,45200,1439.3987644099102,355,1
28945,28945,11680,삼성동,2012-10-22,현대힐스테이트 2단지,50,43.842,6,2008,53000,1208.8864559098581,355,1
28946,28946,11680,삼성동,2012-10-23,삼성동한솔아파트,04월 06일,109.51,15,1998,86000,785.3164094603233,355,1
28947,28947,11680,삼성동,2012-10-25,청구아파트,Apr-78,84.99,12,1990,69250,814.8017413813391,355,1
28948,28948,11680,삼성동,2012-10-27,푸른솔아파트1동,04월 03일,59.4,2,1996,45600,767.6767676767677,355,1
28949,28949,11680,삼성동,2012-10-27,삼성동힐스테이트 1단지,02월 16일,84.236,14,2008,96000,1139.6552542855786,355,1
28962,28962,11680,수서동,2012-10-22,신동아,736,33.18,5,1992,27700,834.840265220012,355,1
28963,28963,11680,수서동,2012-10-24,까치마을,746,49.5,12,1993,41400,836.3636363636364,355,1
28964,28964,11680,수서동,2012-10-24,까치마을,746,39.6,4,1993,30500,770.2020202020202,355,1
28968,28968,11680,신사동,2012-10-26,로데오현대,658,84.96,10,1998,66000,776.8361581920905,355,1
28988,28988,11680,압구정동,2012-10-22,현대65동(대림아크로빌아파트),456,243.96,6,1979,250000,1024.7581570749303,355,1
28989,28989,11680,압구정동,2012-10-22,"현대6차(78~81,83,84,86,87동)",456,144.7,10,1978,163000,1126.468555632343,355,1
28990,28990,11680,압구정동,2012-10-22,신현대11차,433,183.41,1,1983,165000,899.6237936862767,355,1
28991,28991,11680,압구정동,2012-10-22,신현대12차,434,110.82,11,1982,109200,985.3817000541419,355,1
28992,28992,11680,압구정동,2012-10-24,신현대9차,426,111.38,2,1982,102000,915.7838031962651,355,1
28993,28993,11680,압구정동,2012-10-24,한양8(81동한개동),510,210.1,9,1984,242000,1151.8324607329844,355,1
28994,28994,11680,압구정동,2012-10-24,"현대6차(78~81,83,84,86,87동)",456,144.2,7,1978,173000,1199.722607489598,355,1
28995,28995,11680,압구정동,2012-10-25,한양1차(영동한양),490,63.87,4,1977,80000,1252.5442304681385,355,1
28996,28996,11680,압구정동,2012-10-25,현대8차(성수현대:91~95동),481,111.5,6,1981,96500,865.4708520179372,355,1
28997,28997,11680,압구정동,2012-10-26,한양1차(영동한양),490,91.21,12,1977,104500,1145.707707488214,355,1
29020,29020,11680,역삼동,2012-10-22,한스빌(836),836,39.89,7,1996,23000,576.5856104286788,355,1
29021,29021,11680,역삼동,2012-10-22,역삼래미안,757,59.73,12,2005,63500,1063.117361459903,355,1
29022,29022,11680,역삼동,2012-10-24,역삼 I'PARK,713-11,144.011,17,2006,145000,1006.8675309524967,355,1
29023,29023,11680,역삼동,2012-10-24,역삼래미안,757,59.4,16,2005,62000,1043.7710437710439,355,1
29024,29024,11680,역삼동,2012-10-24,역삼래미안,757,80.87,10,2005,90000,1112.8972424879435,355,1
29025,29025,11680,역삼동,2012-10-25,역삼래미안,757,59.53,12,2005,64000,1075.0881908281538,355,1
29026,29026,11680,역삼동,2012-10-26,역삼 I'PARK,713-11,144.011,17,2006,137000,951.3162188999452,355,1
29045,29045,11680,일원동,2012-10-21,푸른마을 아파트 101동~111동,719,59.76,7,1994,46500,778.1124497991968,355,1
29046,29046,11680,일원동,2012-10-26,샘터마을,718,134.438,6,1994,126000,937.2350079590593,355,1
29047,29047,11680,일원동,2012-10-26,가람,735,84.95,3,1993,81700,961.7422012948794,355,1
29063,29063,11680,청담동,2012-10-24,청담삼익아파트,134-15,107.21,5,1980,86500,806.8277212946554,355,1
29064,29064,11680,청담동,2012-10-27,"청담2차 이-편한세상(201동,202동,203동)",14,84.97,6,2006,73000,859.1267506178651,355,1
