,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
12036,1,11140,만리동1가,2019-11-16,LIG 서울역 리가,231,84.9866,10,2012,112000,1317.8548147590327,723
12041,1,11140,순화동,2019-11-13,순화동더샵,151,84.9,16,2007,92000,1083.627797408716,723
12068,1,11140,신당동,2019-11-11,남산타운,844,84.88,2,2002,95500,1125.1178133836004,723
12069,1,11140,신당동,2019-11-11,약수하이츠,842,57.63,9,1999,61000,1058.4764879403087,723
12070,1,11140,신당동,2019-11-11,남산타운,844,59.94,2,2002,77000,1284.617951284618,723
12071,1,11140,신당동,2019-11-11,남산타운,844,114.88,13,2002,123000,1070.682451253482,723
12072,1,11140,신당동,2019-11-11,래미안하이베르,851,117.0,4,2011,105000,897.4358974358975,723
12073,1,11140,신당동,2019-11-11,신당푸르지오,850,84.39,4,2005,85500,1013.1532172058301,723
12074,1,11140,신당동,2019-11-11,래미안하이베르,851,59.95,13,2011,82000,1367.8065054211843,723
12075,1,11140,신당동,2019-11-12,약수하이츠,842,65.37,4,1999,77800,1190.1483861098363,723
12076,1,11140,신당동,2019-11-12,약수하이츠,842,114.92,10,1999,120000,1044.2046641141665,723
12077,1,11140,신당동,2019-11-12,약수하이츠,842,57.63,17,1999,65000,1127.8847822314767,723
12078,1,11140,신당동,2019-11-12,남산타운,844,59.94,2,2002,82000,1368.0347013680348,723
12079,1,11140,신당동,2019-11-13,현대,840,66.6,4,1993,62500,938.4384384384385,723
12080,1,11140,신당동,2019-11-13,현대,840,83.97,6,1993,67700,806.2403239252114,723
12081,1,11140,신당동,2019-11-14,약수하이츠,842,57.63,9,1999,65000,1127.8847822314767,723
12082,1,11140,신당동,2019-11-14,청구e편한세상,852,84.95,2,2011,110000,1294.8793407886992,723
12083,1,11140,신당동,2019-11-14,신당푸르지오,850,84.39,17,2005,90000,1066.477070742979,723
12084,1,11140,신당동,2019-11-14,약수하이츠,842,57.63,1,1999,75600,1311.8167621030714,723
12085,1,11140,신당동,2019-11-15,삼성,843,59.97,5,1999,67500,1125.5627813906954,723
12086,1,11140,신당동,2019-11-15,약수하이츠,842,84.88,4,1999,100000,1178.13383600377,723
12087,1,11140,신당동,2019-11-15,래미안하이베르,851,59.95,7,2011,80000,1334.4453711426188,723
12088,1,11140,신당동,2019-11-15,청구e편한세상,852,84.95,9,2011,115000,1353.737492642731,723
12089,1,11140,신당동,2019-11-16,남산타운,844,59.94,9,2002,79500,1326.3263263263264,723
12090,1,11140,신당동,2019-11-16,남산타운,844,59.94,4,2002,79500,1326.3263263263264,723
12091,1,11140,신당동,2019-11-16,남산타운,844,114.88,6,2002,113000,983.6350974930363,723
12092,1,11140,신당동,2019-11-16,한진해모로,845,59.76,5,2001,59200,990.6291834002677,723
12093,1,11140,신당동,2019-11-16,래미안하이베르,851,84.98,4,2011,94700,1114.3798540833136,723
12094,1,11140,신당동,2019-11-16,래미안하이베르,851,59.74,3,2011,81000,1355.8754603280884,723
12095,1,11140,신당동,2019-11-16,삼성,843,114.91,3,1999,85000,739.7093377425812,723
12096,1,11140,신당동,2019-11-16,약수하이츠,842,84.88,14,1999,106500,1254.7125353440151,723
12097,1,11140,신당동,2019-11-16,남산타운,844,59.94,9,2002,79900,1332.9996663329998,723
12147,1,11140,충무로4가,2019-11-12,진양상가,120-3,95.8,12,1970,60000,626.3048016701462,723
12148,1,11140,충무로4가,2019-11-16,남산센트럴 자이,306,128.952,7,2009,107500,833.643526273342,723
12158,1,11140,황학동,2019-11-11,롯데캐슬,2545,59.94,21,2008,64000,1067.7344010677346,723
12159,1,11140,황학동,2019-11-12,롯데캐슬,2545,59.94,31,2008,59800,997.6643309976644,723
12160,1,11140,황학동,2019-11-12,DUO302,819,15.97,8,2014,17000,1064.4959298685035,723
12161,1,11140,황학동,2019-11-14,롯데캐슬,2545,59.94,10,2008,60000,1001.001001001001,723
12162,1,11140,황학동,2019-11-14,롯데캐슬,2545,59.91,32,2008,65000,1084.960774495076,723
12163,1,11140,황학동,2019-11-15,황학동 코아루,882,84.94,9,2010,68000,800.5651047798447,723
12164,1,11140,황학동,2019-11-15,롯데캐슬,2545,114.9,25,2008,89000,774.5865970409051,723
12165,1,11140,황학동,2019-11-16,롯데캐슬,2545,84.92,9,2008,74800,880.8290155440415,723
12166,1,11140,황학동,2019-11-16,롯데캐슬,2545,114.9,10,2008,87000,757.1801566579634,723
12180,1,11140,회현동1가,2019-11-10,남산 롯데캐슬 아이리스,208,113.46,14,2011,112000,987.1320289088666,723
12181,1,11140,회현동1가,2019-11-11,남산 롯데캐슬 아이리스,208,187.44,5,2011,143000,762.9107981220658,723
12182,1,11140,회현동1가,2019-11-12,남산 롯데캐슬 아이리스,208,133.98,16,2011,136000,1015.0768771458428,723
12183,1,11140,회현동1가,2019-11-15,남산 롯데캐슬 아이리스,208,113.46,15,2011,118000,1040.0141018861273,723
12194,1,11140,흥인동,2019-11-13,동대문 와이즈 캐슬,119,15.55,9,2014,16900,1086.8167202572347,723
12195,1,11140,흥인동,2019-11-15,청계천 두산위브더제니스,13-1,147.327,7,2014,134000,909.5413603752197,723
