,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
13907,1,11590,대방동,2012-12-31,주공2,503,51.66,4,1995,26000,503.29074719318623,365
13941,1,11590,사당동,2012-12-30,사당휴먼시아,1154,59.96,5,2009,37700,628.7525016677785,365
13942,1,11590,사당동,2012-12-30,삼익그린뷰,1150,84.9941,2,2003,33000,388.26224408517766,365
13943,1,11590,사당동,2012-12-30,신동아4,105,59.89,12,1993,36200,604.4414760394055,365
13987,1,11590,상도동,2012-12-30,동원베네스트,528,84.958,1,2008,40500,476.70613715012126,365
13988,1,11590,상도동,2012-12-31,힐스테이트 상도 센트럴파크,531,84.7835,4,2012,70180,827.7554005201483,365
13989,1,11590,상도동,2012-12-31,래미안상도3차,431,59.97,6,2004,42600,710.3551775887944,365
13990,1,11590,상도동,2012-12-31,포스코더샵,521,84.995,3,2007,50000,588.2698982293076,365
14005,1,11590,신대방동,2012-12-30,보라매 e편한세상,720,84.94,10,2010,58900,693.4306569343066,365
14034,1,11590,흑석동,2012-12-31,흑석한강센트레빌Ⅱ,339,119.727,7,2012,82342,687.7479599422019,365
14035,1,11590,흑석동,2012-12-31,흑석한강센트레빌Ⅱ,339,119.738,1,2012,77039,643.3964155071907,365
14036,1,11590,흑석동,2012-12-31,흑석한강푸르지오,336,84.98,2,2012,61000,717.8159566956931,365
14037,1,11590,흑석동,2012-12-31,흑석한강푸르지오,336,115.98,3,2012,69198,596.6373512674598,365
14038,1,11590,흑석동,2012-12-31,흑석한강센트레빌Ⅱ,339,119.727,10,2012,79105,660.7114518863748,365
14047,1,11590,대방동,2013-01-04,대림아파트,501,59.84,16,1993,33000,551.470588235294,365
14048,1,11590,대방동,2013-01-05,성원,500,84.32,9,1994,43500,515.8918406072107,365
14063,1,11590,사당동,2013-01-01,대성유니드,1155,84.96,7,2009,40250,473.75235404896426,365
14064,1,11590,사당동,2013-01-02,이수프라자,138-3,120.82,4,2004,42000,347.6245654692932,365
14065,1,11590,사당동,2013-01-02,신동아4,105,59.89,1,1993,32950,550.1753214226081,365
14066,1,11590,사당동,2013-01-03,신동아4,105,46.75,8,1993,28800,616.0427807486631,365
14090,1,11590,상도동,2013-01-05,성우,380-1,50.1,5,1993,14600,291.4171656686627,365
14091,1,11590,상도동,2013-01-05,포스코더샵,521,59.99,10,2007,40000,666.7777962993832,365
14092,1,11590,상도동,2013-01-05,래미안상도3차,431,84.96,8,2004,58000,682.6741996233523,365
14093,1,11590,상도동,2013-01-05,현대(관악),407,84.78,14,1992,36000,424.6284501061571,365
14123,1,11590,신대방동,2013-01-03,한성,470-8,84.99,16,1995,47000,553.006236027768,365
14124,1,11590,신대방동,2013-01-05,보라매 e편한세상,720,84.94,10,2010,60000,706.3809748057453,365
14125,1,11590,신대방동,2013-01-05,보라매삼성쉐르빌,395-66,163.83,24,2003,78500,479.1552218763352,365
14148,1,11590,흑석동,2013-01-02,흑석한강센트레빌,335,84.89,16,2011,68000,801.0366356461303,365
14149,1,11590,흑석동,2013-01-03,흑석한강푸르지오,336,84.98,3,2012,65000,764.8858554954106,365
