,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
35323,1,11230,답십리동,2019-06-02,두산,990,84.83,4,2000,59000,695.5086643875987,700
35324,1,11230,답십리동,2019-06-03,두산,990,59.96,13,2000,49300,822.2148098732488,700
35325,1,11230,답십리동,2019-06-03,클래식타워,493-5,120.24,12,1999,50700,421.65668662674653,700
35326,1,11230,답십리동,2019-06-04,보광타워,530-4,14.69,9,2019,13450,915.5888359428183,700
35327,1,11230,답십리동,2019-06-04,청계푸르지오시티,497-23,30.42,16,2015,30300,996.0552268244576,700
35328,1,11230,답십리동,2019-06-06,래미안위브,1003,84.98,4,2014,90000,1059.0727229936456,700
35329,1,11230,답십리동,2019-06-06,답십리청솔우성,80,84.94,6,2000,61000,718.1539910525076,700
35330,1,11230,답십리동,2019-06-08,래미안위브,1003,84.98,6,2014,90000,1059.0727229936456,700
35365,1,11230,용두동,2019-06-02,용두 두산위브,791,84.99,3,2009,76000,894.2228497470292,700
35366,1,11230,용두동,2019-06-03,래미안 허브리츠,792,84.97,4,2011,84000,988.5842061904202,700
35367,1,11230,용두동,2019-06-03,신동아,779,58.59,13,1994,45000,768.0491551459293,700
35368,1,11230,용두동,2019-06-03,용두 두산위브,791,84.99,18,2009,72000,847.1584892340276,700
35369,1,11230,용두동,2019-06-04,용두 두산위브,791,84.99,14,2009,75200,884.8099776444288,700
35370,1,11230,용두동,2019-06-05,래미안 허브리츠,792,84.97,10,2011,84000,988.5842061904202,700
35390,1,11230,이문동,2019-06-03,대림e-편한세상,225,59.958,11,2003,53000,883.9520998031956,700
35391,1,11230,이문동,2019-06-04,대림e-편한세상,225,84.97200000000002,13,2003,63100,742.5975615496867,700
35392,1,11230,이문동,2019-06-06,이문삼성래미안아파트,425,84.954,9,2001,57500,676.836876427243,700
35409,1,11230,장안동,2019-06-03,장안푸르미에,466-5,12.9463,2,2013,11900,919.1815422166951,700
35410,1,11230,장안동,2019-06-04,르메이에르장안타운II(342-11),342-11,84.82,12,2005,27700,326.57392124498944,700
35411,1,11230,장안동,2019-06-06,장안힐스테이트,329-2,59.928,20,2007,60000,1001.2014417300761,700
35412,1,11230,장안동,2019-06-06,장안뉴시티,372-5,17.63,11,2012,10000,567.2149744753261,700
35413,1,11230,장안동,2019-06-06,래미안장안2차,329-3,81.05,25,2007,67000,826.6502159161012,700
35414,1,11230,장안동,2019-06-07,장안위더스빌,580,84.99,12,2011,54000,635.3688669255207,700
35415,1,11230,장안동,2019-06-07,장안현대홈타운(336),336,112.78,2,2003,71500,633.9776556126973,700
35416,1,11230,장안동,2019-06-07,은하수드림빌,579,84.4344,10,2009,44700,529.4050766038487,700
35417,1,11230,장안동,2019-06-07,래미안장안,354-2,59.86,11,2003,58400,975.609756097561,700
35449,1,11230,전농동,2019-06-02,동아,645-2,57.9,5,1997,51000,880.8290155440415,700
35450,1,11230,전농동,2019-06-03,래미안 크레시티,690,59.99,6,2014,84700,1411.9019836639438,700
35451,1,11230,전농동,2019-06-03,전농SK,10,84.95,12,2000,63000,741.6127133608004,700
35452,1,11230,전농동,2019-06-03,래미안 크레시티,690,59.99,5,2014,87000,1450.2417069511584,700
35453,1,11230,전농동,2019-06-05,전농동삼성래미안,155,84.98,9,2000,60000,706.0484819957637,700
35454,1,11230,전농동,2019-06-06,래미안 크레시티,690,59.99,6,2014,80000,1333.5555925987665,700
35455,1,11230,전농동,2019-06-06,동아,645-2,83.01,6,1997,64000,770.9914468136369,700
35456,1,11230,전농동,2019-06-07,래미안 크레시티,690,59.99,3,2014,80000,1333.5555925987665,700
35457,1,11230,전농동,2019-06-08,전농동삼성래미안,155,59.93,14,2000,54500,909.3942933422326,700
35484,1,11230,청량리동,2019-06-05,한신,60,59.97,10,1997,49500,825.4127063531766,700
35496,1,11230,휘경동,2019-06-04,휘경미소지움,106,59.84,1,1999,39000,651.7379679144385,700
35497,1,11230,휘경동,2019-06-05,휘경미소지움,106,59.84,1,1999,42000,701.8716577540107,700
35498,1,11230,휘경동,2019-06-06,주공2,57,39.98,12,2001,33100,827.9139569784893,700
