,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
6702,1,11305,미아동,2011-03-06,래미안트리베라1단지,813,84.97,14,2010,44000,517.8298222902201,270
6703,1,11305,미아동,2011-03-07,미아신구,1352,59.415,7,2000,21600,363.54455945468317,270
6704,1,11305,미아동,2011-03-07,에스케이북한산시티,1353,59.98,25,2004,27000,450.15005001667225,270
6705,1,11305,미아동,2011-03-07,에스케이북한산시티,1353,59.98,15,2004,27500,458.48616205401805,270
6706,1,11305,미아동,2011-03-07,경남아너스빌,796,84.9134,1,2008,33000,388.63124077000805,270
6707,1,11305,미아동,2011-03-10,에스케이북한산시티,1353,59.98,23,2004,26000,433.47782594198065,270
6708,1,11305,미아동,2011-03-11,인성,224-40,81.9,1,2004,23100,282.05128205128204,270
6709,1,11305,미아동,2011-03-11,미아동부센트레빌,474,59.96,5,2006,34800,580.386924616411,270
6710,1,11305,미아동,2011-03-12,에스케이북한산시티,1353,84.76,11,2004,33850,399.36290703161865,270
6750,1,11305,번동,2011-03-07,번동금호어울림,656,59.43,12,1998,23000,387.00992764597004,270
6751,1,11305,번동,2011-03-08,주공1단지,242,49.94,14,1991,22000,440.5286343612335,270
6752,1,11305,번동,2011-03-09,주공1단지,242,41.3,1,1991,15000,363.19612590799034,270
6753,1,11305,번동,2011-03-09,해모로아파트,139,59.98,8,2003,27800,463.4878292764255,270
6754,1,11305,번동,2011-03-10,수유역두산위브1,410,84.9909,5,2009,43000,505.93651790956443,270
6755,1,11305,번동,2011-03-11,효성인텔리안,418-3,40.99,11,2005,14750,359.84386435716027,270
6756,1,11305,번동,2011-03-12,번동한양아파트,133-1,84.67,13,1992,29200,344.8683122711704,270
6757,1,11305,번동,2011-03-12,효성인텔리안,418-3,40.99,7,2005,14800,361.0636740668456,270
6777,1,11305,수유동,2011-03-07,태솔타워,Jul-51,68.6,8,2010,28000,408.16326530612247,270
6778,1,11305,수유동,2011-03-07,다경하이빌,177-2,77.52,3,2008,26200,337.97729618163055,270
6779,1,11305,수유동,2011-03-07,수유벽산2차,648,84.22,7,1994,33000,391.8309190216101,270
6780,1,11305,수유동,2011-03-09,수유벽산1차,205,63.78,3,1993,24000,376.29350893697085,270
6781,1,11305,수유동,2011-03-09,FIRSTVIEW,274-3,52.88,3,2010,25500,482.2239031770045,270
6782,1,11305,수유동,2011-03-10,수유벽산1차,205,63.78,8,1993,24700,387.2687362809658,270
6783,1,11305,수유동,2011-03-10,훼밀리,519-10,84.08,4,2003,26000,309.2293054234063,270
6784,1,11305,수유동,2011-03-10,래미안수유,730,59.88,6,2001,28000,467.6018704074816,270
6785,1,11305,수유동,2011-03-11,수유벽산1차,205,84.92,3,1993,31200,367.4046161092793,270
6786,1,11305,수유동,2011-03-12,수유벽산1차,205,63.78,7,1993,25000,391.9724051426779,270
6801,1,11305,우이동,2011-03-10,성원그린(103동),340,84.77,3,1995,31000,365.6954111124219,270
