,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
12971,1,11200,금호동1가,2012-04-01,금호삼성래미안,1500,59.95,3,2001,35000,583.8198498748957,326
12979,1,11200,금호동3가,2012-04-04,두산,1331,59.97,10,1994,32350,539.4363848590963,326
12984,1,11200,금호동4가,2012-04-03,서울숲푸르지오,340,59.9,6,2007,43300,722.8714524207012,326
12985,1,11200,금호동4가,2012-04-05,대우,800,59.97,10,2001,36500,608.637652159413,326
12990,1,11200,마장동,2012-04-03,세림,784,40.86,2,1986,22500,550.6607929515419,326
12991,1,11200,마장동,2012-04-05,금호어울림,820,84.97,8,2006,52900,622.5726727080146,326
13004,1,11200,성수동1가,2012-04-04,동아,656-320,53.14,3,1983,39500,743.3195333082424,326
13011,1,11200,성수동2가,2012-04-02,롯데캐슬파크,835,101.995,6,2003,60500,593.1663316829256,326
13012,1,11200,성수동2가,2012-04-02,강변금호타운,830,84.96,5,1994,65500,770.9510357815443,326
13013,1,11200,성수동2가,2012-04-05,우방2,286,84.645,11,1999,35000,413.491641561817,326
13017,1,11200,송정동,2012-04-05,로얄빌리지,72-25,54.18,6,2004,18000,332.22591362126246,326
13018,1,11200,송정동,2012-04-07,건영,90,59.83,20,2000,27000,451.2786227644994,326
13032,1,11200,응봉동,2012-04-02,대림(2차),97,59.91,12,1989,31500,525.7886830245368,326
13033,1,11200,응봉동,2012-04-04,금호현대,98,79.8,1,1990,35600,446.1152882205514,326
13034,1,11200,응봉동,2012-04-05,대림강변,15,84.42,16,2001,56750,672.2340677564558,326
13043,1,11200,하왕십리동,2012-04-02,청계벽산,258,84.94,21,1996,42500,500.3531904874029,326
13044,1,11200,하왕십리동,2012-04-03,왕십리풍림아이원,1061,84.417,5,2004,44600,528.3296018574457,326
13045,1,11200,하왕십리동,2012-04-04,왕십리풍림아이원,1061,84.417,13,2004,45700,541.3601525759029,326
13046,1,11200,하왕십리동,2012-04-05,무학현대,992,84.675,9,1996,34900,412.1641570711544,326
13047,1,11200,하왕십리동,2012-04-05,왕십리풍림아이원,1061,114.928,11,2004,62000,539.4681887790617,326
13048,1,11200,하왕십리동,2012-04-06,왕십리풍림아이원,1061,114.928,8,2004,59000,513.3648893220103,326
13053,1,11200,행당동,2012-04-04,행당 한진타운,346,59.96,17,2000,37000,617.0780520346898,326
13054,1,11200,행당동,2012-04-05,서울숲행당푸르지오,376,84.74,6,2011,60000,708.0481472740147,326
13055,1,11200,행당동,2012-04-07,서울숲 한신 더 휴,349,84.95,12,2003,50700,596.8216597998822,326
13056,1,11200,행당동,2012-04-07,서울숲 한신 더 휴,349,59.94,9,2003,36000,600.6006006006006,326
13057,1,11200,행당동,2012-04-07,대림e-편한세상,347,59.96,8,2000,38400,640.4269513008672,326
