,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,평당가격,거래주
72081,1,11680,개포동,2020-10-12,성원대치2단지아파트,12,33.18,12,1992,97000,2923.447860156721,771
72082,1,11680,개포동,2020-10-13,개포주공 5단지,187,53.98,14,1983,177000,3278.992219340497,771
72083,1,11680,개포동,2020-10-14,개포자이(12-2),12월 02일,153.8,16,2004,220000,1430.4291287386216,771
72084,1,11680,개포동,2020-10-15,성원대치2단지아파트,12,33.18,2,1992,94000,2833.0319469559977,771
72085,1,11680,개포동,2020-10-17,개포주공 6단지,185,83.21,9,1983,230000,2764.0908544646077,771
72105,1,11680,논현동,2020-10-14,비쥬힐,Oct-39,78.54,4,2003,74000,942.1950598421186,771
72106,1,11680,논현동,2020-10-15,아크로힐스논현,276-1,113.23100000000001,22,2014,255000,2252.0334537361673,771
72107,1,11680,논현동,2020-10-15,아크로힐스논현,276-1,113.087,16,2014,253000,2237.21559507282,771
72108,1,11680,논현동,2020-10-16,신동아(22),22,35.73,2,1997,84500,2364.9594178561433,771
72125,1,11680,대치동,2020-10-16,포스코더샵,902,164.88,4,2004,319000,1934.7404172731683,771
72131,1,11680,도곡동,2020-10-12,롯데캐슬모닝,551-28,84.91,6,2003,174000,2049.2285949829234,771
72132,1,11680,도곡동,2020-10-13,삼성,161,54.81,10,1994,146000,2663.7474913336982,771
72133,1,11680,도곡동,2020-10-15,도곡렉슬,527,84.9984,7,2006,288000,3388.2990738649196,771
72134,1,11680,도곡동,2020-10-15,포스코트,164-6,209.03,11,2002,280000,1339.5206429699085,771
72135,1,11680,도곡동,2020-10-17,도곡렉슬,527,119.8906,10,2006,328000,2735.827496067248,771
72136,1,11680,도곡동,2020-10-17,삼성래미안,May-91,84.89,9,2001,226000,2662.2688184709623,771
72155,1,11680,삼성동,2020-10-12,삼성동한솔아파트,04월 06일,85.0,16,1998,168000,1976.4705882352941,771
72156,1,11680,삼성동,2020-10-14,채널리저브,144-14,84.97,18,2007,160000,1883.0175356008003,771
72157,1,11680,삼성동,2020-10-15,삼성웰피아,130-2,92.11,1,2005,120000,1302.7901422212572,771
72158,1,11680,삼성동,2020-10-17,삼성동힐스테이트 1단지,02월 16일,31.401999999999997,15,2008,119800,3815.043627794408,771
72161,1,11680,세곡동,2020-10-16,강남엘에이치1단지,579,59.89,5,2013,131000,2187.3434630155284,771
72166,1,11680,수서동,2020-10-14,강남데시앙포레,559,59.74,11,2014,145000,2427.1844660194174,771
72167,1,11680,수서동,2020-10-16,삼성,747,84.97,2,1997,164000,1930.0929739908204,771
72168,1,11680,수서동,2020-10-17,수서한아름,712,97.63,5,1993,160000,1638.8405203318653,771
72183,1,11680,압구정동,2020-10-12,한양1차(영동한양),490,91.21,6,1977,260000,2850.5646310711545,771
72184,1,11680,압구정동,2020-10-13,"현대6차(78~81,83,84,86,87동)",456,144.2,3,1978,360000,2496.5325936199724,771
72185,1,11680,압구정동,2020-10-14,"현대7차(73~77,82,85동)",456,157.36,13,1979,419000,2662.6842907981695,771
72186,1,11680,압구정동,2020-10-15,미성2차,397,74.4,6,1987,227000,3051.0752688172042,771
72187,1,11680,압구정동,2020-10-15,"현대7차(73~77,82,85동)",456,157.36,4,1979,407000,2586.4260294865276,771
72208,1,11680,역삼동,2020-10-13,역삼동우정에쉐르1,826-29,57.98,11,2004,70500,1215.9365298378752,771
72209,1,11680,역삼동,2020-10-13,명인갤러리2차,732-25,122.46,2,2004,128194,1046.8234525559367,771
72210,1,11680,역삼동,2020-10-15,역삼 I'PARK,713-11,116.285,6,2006,277000,2382.078513995786,771
